name,description,price,price2,image_url,category
LIMPIADOR CLEAN TEC 1 LITRO,Descripcion del producto,13.24,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO 2L LAVANDA,Descripcion del producto,54.00,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO DE 10 LTS,Descripcion del producto,279.45,398.12,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO JAMAICA MANDARINA,Descripcion del producto,327.40,303.48,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO MENTA 10LT,Descripcion del producto,353.75,353.74,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO VARIOS AROMAS,Descripcion del producto,30.10,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FLASH BRISA MARINA,Descripcion del producto,21.98,20.41,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FLASH FLORAL 1L,Descripcion del producto,21.01,19.23,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FLASH LAVANDA 1.25,Descripcion del producto,26.37,26.29,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FLASH LAVANDA 1L,Descripcion del producto,22.30,20.41,public/images/cleantec-logo.png,Limpieza
LIMPIADOR LYSOL 5L,Descripcion del producto,184.68,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR MM 10 LTS CITRUS,Descripcion del producto,189.06,175.55,public/images/cleantec-logo.png,Limpieza
LIMPIADOR MM LAVANDA 10LT,Descripcion del producto,244.38,226.80,public/images/cleantec-logo.png,Limpieza
LIMPIADOR MM LAVANDA 20 LTS,Descripcion del producto,371.90,340.20,public/images/cleantec-logo.png,Limpieza
LIMPIADOR MM MANZANA CANELA 10LT,Descripcion del producto,189.06,175.55,public/images/cleantec-logo.png,Limpieza
LIMPIADOR MULTIUSOS MAESTRO LIMPIO VARIOS AROMAS,Descripcion del producto,256.35,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR PINOL 1LT,Descripcion del producto,32.60,30.61,public/images/cleantec-logo.png,Limpieza
LIMPIADOR PINOL EL ORIGINAL 9LT,Descripcion del producto,292.90,263.73,public/images/cleantec-logo.png,Limpieza
LIMPIADOR PINOL 3.75ML,Descripcion del producto,123.52,118.69,public/images/cleantec-logo.png,Limpieza
LIMPIADOR PINOL FLORAL,Descripcion del producto,260.02,241.44,public/images/cleantec-logo.png,Limpieza
LIMPIADOR PINOL REPELENTE 9LT,Descripcion del producto,260.02,240.58,public/images/cleantec-logo.png,Limpieza
LIMPIADOR POETT 9L ALEGRA TU VIDA,Descripcion del producto,177.19,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR POETT ALEGRA TU VIDA,Descripcion del producto,20.71,19.23,public/images/cleantec-logo.png,Limpieza
LIMPIADOR POETT DE LAVANDA,Descripcion del producto,20.71,19.23,public/images/cleantec-logo.png,Limpieza
LIMPIADOR POETT SUAVIDAD DE ALGODON,Descripcion del producto,20.71,19.23,public/images/cleantec-logo.png,Limpieza
LYSOL AEROSOL DESINFECTANTE 354G,Descripcion del producto,121.01,121.00,public/images/cleantec-logo.png,Limpieza
LYSOL AEROSOL DESINFECTANTE 475G,Descripcion del producto,150.76,122.50,public/images/cleantec-logo.png,Limpieza
LYSOL LIMPIADOR 6LTS,Descripcion del producto,201.94,184.87,public/images/cleantec-logo.png,Limpieza
LYSOL QUITA SARRO,Descripcion del producto,59.93,0.00,public/images/cleantec-logo.png,Limpieza
